company_name,company_shortname,name_of_founder,cb_profile_link,linkedin_profile_link
SoftBank,softbank,Masayoshi Son,https://www.crunchbase.com/person/masayoshi-son,nil
SoftBank,softbank,Oketani Taku,https://www.crunchbase.com/person/oketani-taku,nil
Apollo,apollo-global-management-llc,Josh Harris,https://www.crunchbase.com/person/joshua-harris-3,https://www.linkedin.com/in/josh-harris-apollo/
Apollo,apollo-global-management-llc,Leon Black,https://www.crunchbase.com/person/leon-black,nil
Apollo,apollo-global-management-llc,Marc Rowan,https://www.crunchbase.com/person/marc-rowan,nil
Square,square,Buzz Andersen,https://www.crunchbase.com/person/buzz-andersen,https://www.linkedin.com/in/buzzandersen
Square,square,Jack Dorsey,https://www.crunchbase.com/person/jack-dorsey,nil
Square,square,Jim McKelvey,https://www.crunchbase.com/person/jim-mckelvey,http://www.linkedin.com/in/mckelveyjim
Ant Group,ant-group,Lucy Peng,https://www.crunchbase.com/person/lucy-peng,nil
